#Year	DOY	hour	Btot	Br	Bt	Bn	Np	Vtot	Tp
2021	271	17	16.9	14.3	-8.5	2.4	Nan	Nan	Nan
2021	271	18	17.4	14.0	-8.8	5.4	Nan	Nan	Nan
2021	271	19	17.1	12.9	-9.6	5.3	Nan	Nan	Nan
2021	271	20	13.2	9.2	-8.2	0.9	Nan	Nan	Nan
2021	271	21	14.4	11.2	-8.3	3.1	Nan	Nan	Nan
2021	271	22	16.2	9.8	-8.2	8.6	Nan	Nan	Nan
2021	271	23	13.6	10.7	0.4	6.6	Nan	Nan	Nan
2021	272	0	14.7	1.5	-12.8	-1.5	Nan	Nan	Nan
2021	272	1	16.3	1.3	-15.7	-4.1	Nan	Nan	Nan
2021	272	2	16.6	-3.8	-12.3	-7.9	Nan	Nan	Nan
2021	272	3	15.9	-14.1	-0.7	-6.7	Nan	Nan	Nan
2021	272	4	14.5	-9.4	-6.8	-6.6	Nan	Nan	Nan
2021	272	5	13.3	-5.9	-10.3	-5.3	Nan	Nan	Nan
2021	272	6	14.6	-10.5	-9.9	-1.5	Nan	Nan	Nan
2021	272	7	15.2	-13.6	-4.8	-3.6	Nan	Nan	Nan
2021	272	8	16.6	-15.0	-3.6	-5.0	Nan	Nan	Nan
2021	272	9	17.5	-13.5	-4.7	-9.8	Nan	Nan	Nan
2021	272	10	15.2	-12.8	-3.6	-7.0	Nan	Nan	Nan
2021	272	11	16.0	-12.9	-3.6	-7.6	Nan	Nan	Nan
2021	272	12	16.1	-13.9	-2.7	-7.2	Nan	Nan	Nan
2021	272	13	16.1	-12.7	-5.6	-6.8	Nan	Nan	Nan
2021	272	14	15.0	-11.7	-7.7	-4.6	Nan	Nan	Nan
2021	272	15	22.2	-14.9	-15.0	-5.1	Nan	Nan	Nan
2021	272	16	19.8	-15.7	-9.1	-7.0	Nan	Nan	Nan
2021	272	17	20.5	-16.2	-6.7	-10.2	Nan	Nan	Nan
2021	272	18	17.7	-13.2	-4.2	-10.0	Nan	Nan	Nan
2021	272	19	22.5	-15.3	-6.6	-14.7	Nan	Nan	Nan
2021	272	20	11.0	-2.1	-9.1	-3.1	Nan	Nan	Nan
2021	272	21	15.8	1.0	-14.5	-5.2	Nan	Nan	Nan
2021	272	22	14.8	2.0	-14.2	-2.8	Nan	Nan	Nan
2021	272	23	16.7	4.6	-15.7	-2.7	Nan	Nan	Nan
